,dataset,model,precision,recall,f1_score,false_alarm_rate,detection_rate
zscore_validation_eth_ucy,Validation_ETH_UCY,zscore,0.12189859762675297,0.743421052631579,0.20945319740500462,0.05962059620596206,0.06714958348424484
threshold_validation_eth_ucy,Validation_ETH_UCY,threshold,0.027557568893922236,0.9605263157894737,0.053577981651376144,0.37735296271881635,0.3837739949293734
isolation_forest_validation_eth_ucy,Validation_ETH_UCY,isolation_forest,0.014945652173913044,0.07236842105263158,0.024774774774774775,0.05310188237017505,0.05331401666063021
