,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,specificity,false_positive_rate,false_negative_rate,accuracy,roc_auc,average_precision,threshold
isolation_forest,0.04895960832313342,0.47619047619047616,0.08879023307436182,80.0,1554.0,1651.0,88.0,0.5151326053042121,0.4848673946957878,0.5238095238095238,0.5131930032611918,0.5222884629670901,0.0724692404276134,0.6745173174954043
oneclass_svm,0.04980729321079158,1.0,0.09488844959051115,168.0,3205.0,0.0,0.0,0.0,1.0,0.0,0.04980729321079158,0.5,0.04980729321079158,0.5462228140270377
zscore,0.04980729321079158,1.0,0.09488844959051115,168.0,3205.0,0.0,0.0,0.0,1.0,0.0,0.04980729321079158,0.5985894435777431,0.22780278403079995,2.9516626251252527
mad,0.33840304182509506,0.5297619047619048,0.41299303944315546,89.0,174.0,3031.0,79.0,0.9457098283931358,0.05429017160686427,0.47023809523809523,0.9249925882004151,0.8390907064854023,0.3046860813546515,2.4950022153984412
